gene	avg_log2FC	pct.1	pct.2	p_val	p_val_adj	n1	n2
ENSG00000283674	-0.969462486929063	0.068	0.127	4.78832766120533e-09	0.000117366699303804	1579	2112
NUFIP1	-0.797222643497653	0.075	0.137	4.80022472364121e-09	0.00011765830820117	1579	2112
KLHL6	0.999764677615058	0.187	0.123	4.80081039908868e-09	0.000117672663692063	1579	2112
SARS2	-1.50200153138967	0.015	0.051	4.81520270593286e-09	0.00011802543352512	1579	2112
WWC3	1.14348304706985	0.194	0.13	4.81758294043483e-09	0.000118083775452998	1579	2112
YIPF4	0.802547283701247	0.321	0.252	4.83498551937623e-09	0.000118510330065431	1579	2112
RASSF1	-0.272567004500436	0.233	0.33	4.94046423039901e-09	0.00012109571875131	1579	2112
ENSG00000261596	0.944860143819129	0.179	0.113	4.99405247055865e-09	0.000122409220105863	1579	2112
ENSG00000287778	1.8156613150244	0.053	0.018	5.04434933817593e-09	0.00012364204662803	1579	2112
PRPF8	-0.335497757939021	0.282	0.383	5.06286752458256e-09	0.000124095945895043	1579	2112
CD37	0.664539770112653	0.372	0.306	5.1176026126245e-09	0.000125437557638039	1579	2112
UPF3B	-0.373208030653413	0.139	0.218	5.17052189809568e-09	0.000126734662244223	1579	2112
HS6ST1	-0.574749569992179	0.081	0.146	5.18958572297333e-09	0.000127201935655799	1579	2112
NUP133	-0.374759452093547	0.143	0.225	5.20152748206359e-09	0.000127494640112861	1579	2112
DESI2	-0.339097383559966	0.208	0.298	5.20561253700586e-09	0.000127594768894551	1579	2112
MBNL3	-0.331780213068686	0.139	0.221	5.26722861361524e-09	0.000129105040548323	1579	2112
MRRF	-0.446561439009076	0.175	0.26	5.33504358815161e-09	0.000130767253389184	1579	2112
LMBRD1	0.734260971092713	0.359	0.289	5.34535199850326e-09	0.000131019922835313	1579	2112
TRMT61B	-0.66720581380476	0.08	0.143	5.43060497966975e-09	0.000133109558656685	1579	2112
ATP13A3-DT	1.1615017410132	0.111	0.059	5.46102561971289e-09	0.000133855198964783	1579	2112
ENSG00000274767	1.83097935030951	0.05	0.017	5.58220718218808e-09	0.000136825480242612	1579	2112
DNASE2	1.25756365449046	0.08	0.036	5.6153973819084e-09	0.000137639005227957	1579	2112
NDUFA11	-0.343765018333063	0.205	0.297	5.62745095248895e-09	0.000137934450296457	1579	2112
NSUN6	-0.323569092109187	0.203	0.297	5.64953398204167e-09	0.000138475727433823	1579	2112
EXOSC5	-1.46870343399467	0.021	0.061	5.64987070529814e-09	0.000138483980857563	1579	2112
ACAP3	-1.0874162661252	0.023	0.065	5.6590734004621e-09	0.000138709548118727	1579	2112
MTIF2	-0.437765347698586	0.145	0.224	5.66130205084422e-09	0.000138764174568243	1579	2112
RHBDD3	-0.684510127265321	0.063	0.122	5.72414347585301e-09	0.000140304480736633	1579	2112
PSMG3	-0.926515142390685	0.037	0.085	5.72836874030119e-09	0.000140408046193522	1579	2112
SMNDC1	-0.393598497539137	0.151	0.231	5.97059657897666e-09	0.000146345292747297	1579	2112
IRAK1	-0.419944522833984	0.125	0.2	6.07444688685293e-09	0.000148890767643652	1579	2112
DHCR7	-1.70956610261274	0.015	0.05	6.10165767376549e-09	0.000149557731241666	1579	2112
IFT122	-0.46679098886416	0.099	0.17	6.10380458566096e-09	0.000149610354199136	1579	2112
ZNF528-AS1	1.776478449522	0.051	0.017	6.13878031920354e-09	0.000150467644403998	1579	2112
MFNG	-0.451859591968801	0.096	0.164	6.16624048728889e-09	0.000151140720583938	1579	2112
HSPA1A	1.32614323448962	0.093	0.046	6.24581716755955e-09	0.000153091224594052	1579	2112
KLHL5	0.619814824561168	0.435	0.37	6.26844331748999e-09	0.000153645814154997	1579	2112
ZBED1	-0.534271207361423	0.103	0.172	6.36802480207143e-09	0.000156086655923573	1579	2112
C18orf32	1.01827378314376	0.167	0.104	6.37535298225724e-09	0.000156266276948107	1579	2112
CMC1	0.598888788732542	0.436	0.37	6.44796778608512e-09	0.000158046138404732	1579	2112
GABPB1	-0.361951290994802	0.186	0.273	6.51686595001527e-09	0.000159734901300824	1579	2112
TCHP	-0.454668879500114	0.151	0.229	6.56184179196169e-09	0.000160837304162773	1579	2112
FTCDNL1	0.845643185793175	0.262	0.191	6.56585891689069e-09	0.000160935767911908	1579	2112
AMMECR1	-0.414879327339218	0.122	0.198	6.6484433182679e-09	0.000162959994174065	1579	2112
TMTC4	-0.517053061561492	0.067	0.127	6.68103230210726e-09	0.000163758782756951	1579	2112
CEBPA	-0.425035597182022	0.103	0.175	6.74411446703328e-09	0.000165304989701453	1579	2112
ACSS1	-0.669835819379425	0.066	0.125	6.75014912554679e-09	0.000165452905216277	1579	2112
MRPL28	-0.551125795696966	0.087	0.153	6.80932848272413e-09	0.000166903450440051	1579	2112
NTMT1	-0.928622157255256	0.041	0.09	6.89830978659519e-09	0.000169084471179235	1579	2112
L3MBTL2	-0.539149727439617	0.045	0.097	6.90664055915454e-09	0.000169288666745437	1579	2112
TTF1	-0.418689879274229	0.141	0.217	6.95669219115567e-09	0.000170515482297417	1579	2112
NME7	-0.35507173128089	0.164	0.249	6.98481436582834e-09	0.000171204784920819	1579	2112
UBE4A	0.699850005963039	0.316	0.245	7.05757758593006e-09	0.000172988284208732	1579	2112
RHOG	0.604221685970705	0.425	0.361	7.06614506690241e-09	0.000173198281734845	1579	2112
NUTM2A-AS1	-0.25684509005776	0.357	0.464	7.12767910171308e-09	0.000174706542462089	1579	2112
STRIP1	-0.47816426466092	0.052	0.107	7.16501609123063e-09	0.000175621709412154	1579	2112
MLH1	-0.38641543861443	0.156	0.239	7.17346241040655e-09	0.000175828737141475	1579	2112
ARMC9	-0.911021470322429	0.033	0.079	7.1869781776266e-09	0.000176160022111806	1579	2112
GPALPP1	-0.421133853708949	0.146	0.224	7.19249248010963e-09	0.000176295183179967	1579	2112
ARSA	1.22749855205827	0.085	0.04	7.2476259182925e-09	0.000177646558883268	1579	2112
UAP1	-0.482628026594621	0.077	0.141	7.30990424266488e-09	0.000179173062891959	1579	2112
