gene	avg_log2FC	pct.1	pct.2	p_val	p_val_adj	n1	n2
CTPS1	-0.67949645432015	0.153	0.25	0.0869702088677036	1	59	1190
ERBIN	0.679215608602475	0.661	0.596	0.00950723040576529	1	59	1190
ENSG00000271204	0.679202807377121	0.068	0.087	0.67347643113183	1	59	1190
SLPI	-0.679101080947108	0.119	0.188	0.192608212302603	1	59	1190
ARL5A	-0.678877351788184	0.237	0.309	0.135360559116601	1	59	1190
PKP4	-0.678875393075494	0.542	0.728	0.000680527919075363	1	59	1190
TUFM	-0.678875250442955	0.119	0.285	0.00976904974459773	1	59	1190
LUZP1	-0.678711206032532	0.271	0.35	0.107902933964176	1	59	1190
IFT52	0.678636886686746	0.136	0.118	0.718322836637313	1	59	1190
MAN2B1	-0.678472530955514	0.271	0.376	0.052609702265605	1	59	1190
PRG2	-0.678322946413601	0.051	0.054	0.888905325678354	1	59	1190
VPS13A	-0.678203890168556	0.441	0.597	0.00584690059073633	1	59	1190
UROD	-0.678099958786959	0.068	0.114	0.269811377673624	1	59	1190
ENSG00000267174	-0.677907338895659	0.119	0.155	0.399626349207336	1	59	1190
COMMD4	-0.6777901736575	0.136	0.164	0.46790922278896	1	59	1190
UBE4B	-0.677486746555706	0.305	0.473	0.00982157235986876	1	59	1190
LY6E	0.677310722779357	0.203	0.167	0.441683203745718	1	59	1190
PRRC2B	-0.67706155536264	0.576	0.691	0.00229642228164921	1	59	1190
GORASP2	-0.676396230903311	0.169	0.305	0.0256494790662124	1	59	1190
SLC35F3	-0.676325846195664	0.051	0.045	0.854758801793696	1	59	1190
VANGL1	0.675663584688726	0.068	0.072	0.941151011138785	1	59	1190
FGFR1	0.675627361171689	0.102	0.068	0.32525921864453	1	59	1190
CLIC1	0.674877860286479	0.508	0.452	0.079674868021417	1	59	1190
XBP1	-0.674775200076054	0.373	0.593	0.000369792368638846	1	59	1190
PDLIM5	0.674745486697444	0.339	0.285	0.193212090602087	1	59	1190
RCHY1	-0.674632942552562	0.102	0.135	0.43052027028609	1	59	1190
HERPUD2	0.674454777622176	0.22	0.129	0.0491828269812899	1	59	1190
LINC02232	-0.674389021930644	0.051	0.055	0.870387299414923	1	59	1190
GOLT1B	0.674229747051717	0.203	0.129	0.119725394067954	1	59	1190
CLCN5	0.674207435963577	0.186	0.134	0.278974897211526	1	59	1190
DNAJB6	-0.673976456880056	0.288	0.454	0.00390514913960545	1	59	1190
ZFYVE26	0.673932775516157	0.203	0.142	0.185107169698097	1	59	1190
TMEM192	-0.673858295278861	0.153	0.263	0.0674383923041457	1	59	1190
CAPNS1	0.67385530767999	0.305	0.213	0.0585811157663994	1	59	1190
SYNJ2	-0.673634157957272	0.203	0.288	0.129883896246509	1	59	1190
RMDN3	0.673515973660897	0.153	0.144	0.885666746383019	1	59	1190
PLGRKT	-0.673358602806636	0.119	0.112	0.97926337185971	1	59	1190
TAF5L	0.673319999926505	0.237	0.164	0.13536543016246	1	59	1190
ZNF250	-0.67324332787933	0.051	0.035	0.578179920722173	1	59	1190
MSH6	-0.673110863501337	0.153	0.319	0.00680906324222111	1	59	1190
UBE2L3	-0.673049814313683	0.356	0.492	0.0121372300083727	1	59	1190
APOOL	-0.67303520125235	0.102	0.184	0.130209927937279	1	59	1190
AHRR	0.672803642264773	0.356	0.266	0.141004061468958	1	59	1190
SNX27	-0.672660397944403	0.288	0.445	0.0114606171625046	1	59	1190
TATDN3	0.672653673260194	0.102	0.102	0.951090284293834	1	59	1190
TECPR1	0.6723799550906	0.085	0.089	0.984160695539868	1	59	1190
MELK	0.672321820709342	0.458	0.392	0.122501848978367	1	59	1190
THRAP3	-0.672198355953172	0.542	0.704	0.000600616079668395	1	59	1190
PRDM2	-0.672193862684416	0.441	0.571	0.0109006988999708	1	59	1190
CPOX	-0.672042057619248	0.051	0.084	0.362189974666419	1	59	1190
HSD17B12	0.671702175237678	0.424	0.344	0.136370228413647	1	59	1190
LSM10	0.671451240958873	0.051	0.06	0.779013706438909	1	59	1190
OPN3	0.671032715637993	0.153	0.104	0.235268450062821	1	59	1190
AKIP1	0.670876710810487	0.153	0.071	0.0303595234612336	1	59	1190
INPP4B	-0.670721554932013	0.203	0.329	0.0528470397148716	1	59	1190
ERG	-0.670718007095834	0.237	0.418	0.0131170301048572	1	59	1190
LRRC34	-0.670682144652666	0.034	0.063	0.362776456219779	1	59	1190
CAPS2	-0.67064162500612	0.068	0.097	0.432180416038554	1	59	1190
CREBRF	0.670530417537062	0.186	0.101	0.0474347439318501	1	59	1190
TIMELESS	-0.670076202984217	0.186	0.222	0.379444287734634	1	59	1190
ENSG00000289315	0.669961787532174	0.051	0.06	0.794306305604967	1	59	1190
LRRC37B	-0.669910649633477	0.102	0.176	0.136946212255174	1	59	1190
MRPL43	0.669500446788887	0.068	0.071	0.99268488984617	1	59	1190
BIN2	0.669484970345875	0.492	0.32	0.0141563160140321	1	59	1190
GSTO1	0.669315370294685	0.508	0.35	0.0121682752386322	1	59	1190
AIP	-0.669230094583079	0.034	0.055	0.465235785414707	1	59	1190
ZMYM1	-0.668764126660157	0.136	0.173	0.372733691709113	1	59	1190
FBRS	-0.668393845417616	0.051	0.117	0.13313820330686	1	59	1190
LDLRAP1	0.668340424841734	0.051	0.072	0.573170387271578	1	59	1190
CORO7	-0.6683398432593	0.136	0.259	0.0422019860237074	1	59	1190
HNRNPL	-0.668298054863527	0.271	0.403	0.0326801872945962	1	59	1190
PRICKLE1	-0.668222955317181	0.068	0.118	0.250947942420264	1	59	1190
MAN2B2	0.668155738108348	0.136	0.115	0.580660559189656	1	59	1190
FAM177A1	0.66798430857966	0.186	0.137	0.274112297815844	1	59	1190
LNCRNA-IUR	0.667939264681154	0.051	0.039	0.653357019165413	1	59	1190
TAF11	0.667920568156006	0.169	0.168	0.86321792619426	1	59	1190
CD226	0.667829422060245	0.051	0.018	0.0771806571421067	1	59	1190
SRRM1	-0.667793604421563	0.475	0.687	0.00107093554536365	1	59	1190
ECHS1	0.667486395994135	0.169	0.154	0.582947193265608	1	59	1190
