test_ligand	auroc	aupr	aupr_corrected	pearson	rank	receiver
B2M	0.827725700256665	0.00935281934914478	0.0073481417681224	0.043809499781418	38	ABCB5+ resistant LSC AML
VEGFB	0.821504296395487	0.00934938269479593	0.00734470511377354	0.0430715959242604	39	ABCB5+ resistant LSC AML
LAMB1	0.847882490793437	0.009341304171663	0.00733662659064061	0.0522779913447488	40	ABCB5+ resistant LSC AML
MMP14	0.843976676710187	0.0093271056296988	0.00732242804867642	0.0505328798868373	41	ABCB5+ resistant LSC AML
FGF5	0.834309786854144	0.00932649102572392	0.00732181344470153	0.0543283781917366	42	ABCB5+ resistant LSC AML
GPI	0.817500836960159	0.00931372994306837	0.00730905236204599	0.0373627855562708	43	ABCB5+ resistant LSC AML
COL4A2	0.828730052449503	0.00919505912944616	0.00719038154842377	0.0514401751153185	44	ABCB5+ resistant LSC AML
LAMA3	0.834505077558307	0.00913556833430382	0.00713089075328144	0.0539529351435985	45	ABCB5+ resistant LSC AML
ENPP1	0.804472157125317	0.00912385231822798	0.0071191747372056	0.0514304299183787	46	ABCB5+ resistant LSC AML
ICAM1	0.838550385001674	0.00912125234517231	0.00711657476414992	0.0452573182193752	47	ABCB5+ resistant LSC AML
HLA-C	0.820709184242826	0.00906449631246398	0.0070598187314416	0.0537454783104894	48	ABCB5+ resistant LSC AML
BGN	0.824029126213591	0.0090340884959151	0.00702941091489272	0.047217406619341	49	ABCB5+ resistant LSC AML
C1QA	0.842121415020644	0.0089922361699087	0.00698755858888632	0.0378763755384788	50	ABCB5+ resistant LSC AML
CALM1	0.834100546813971	0.00898786509965593	0.00698318751863355	0.0421152725447573	51	ABCB5+ resistant LSC AML
COL4A5	0.826442361343599	0.0089806986108739	0.00697602102985151	0.0504959965068953	52	ABCB5+ resistant LSC AML
LAMA1	0.829539113938174	0.00892938989461908	0.0069247123135967	0.0525561712221434	53	ABCB5+ resistant LSC AML
TIMP2	0.840335900011159	0.00892183239476483	0.00691715481374245	0.0469417320421491	54	ABCB5+ resistant LSC AML
CLMP	0.834463229550272	0.00890704287898716	0.00690236529796478	0.0529355587592857	55	ABCB5+ resistant LSC AML
NFASC	0.81047037161031	0.00889663401809663	0.00689195643707425	0.0501950432905134	56	ABCB5+ resistant LSC AML
HSP90B1	0.827209574824238	0.00888144494195153	0.00687676736092915	0.0359377543196744	57	ABCB5+ resistant LSC AML
COL4A1	0.839094409106125	0.00887077267528673	0.00686609509426435	0.0474502134044117	58	ABCB5+ resistant LSC AML
ADAM12	0.875864858832719	0.00886378989045659	0.00685911230943421	0.0516367831038035	59	ABCB5+ resistant LSC AML
LIN7C	0.829190380537887	0.00886188353765039	0.006857205956628	0.0534466312227085	60	ABCB5+ resistant LSC AML
TFPI	0.817696127664321	0.00884908006748731	0.00684440248646492	0.0368276652090216	61	ABCB5+ resistant LSC AML
CD44	0.830794554179221	0.00874271231105008	0.00673803473002769	0.0349883961921227	62	ABCB5+ resistant LSC AML
MFAP2	0.83157571699587	0.00872714656834115	0.00672246898731877	0.0443702761302648	63	ABCB5+ resistant LSC AML
CD99	0.826567905367703	0.00871452964683251	0.00670985206581012	0.0295196735003103	64	ABCB5+ resistant LSC AML
CFH	0.855289588215601	0.00862671922952142	0.00662204164849904	0.0562149070207708	65	ABCB5+ resistant LSC AML
FAM3C	0.819481642673808	0.00861510499652467	0.00661042741550229	0.0449788913132567	66	ABCB5+ resistant LSC AML
RECK	0.844813636870884	0.00861246509824488	0.00660778751722249	0.0508168137967828	67	ABCB5+ resistant LSC AML
LAMC1	0.831478071643789	0.00854120516250837	0.00653652758148599	0.0448686564332079	68	ABCB5+ resistant LSC AML
CALM3	0.836806718000223	0.00853549815613418	0.00653082057511179	0.0467324347972994	69	ABCB5+ resistant LSC AML
FN1	0.831380426291707	0.00852458958284252	0.00651991200182014	0.0436257062246065	70	ABCB5+ resistant LSC AML
RPS19	0.810595915634412	0.00846770853623896	0.00646303095521657	0.0494673353583283	71	ABCB5+ resistant LSC AML
MELTF	0.835690771119294	0.00843296350108629	0.0064282859200639	0.0466634145448868	72	ABCB5+ resistant LSC AML
NRG1	0.832747461220845	0.00843270610733283	0.00642802852631045	0.0498911843194746	73	ABCB5+ resistant LSC AML
COL16A1	0.826874790759959	0.00842079594158802	0.00641611836056563	0.0406543646538806	74	ABCB5+ resistant LSC AML
PLAT	0.820374400178551	0.00842066251925208	0.00641598493822969	0.0392919464032845	75	ABCB5+ resistant LSC AML
TNC	0.818672581185136	0.00840171690172137	0.00639703932069899	0.0320873169940381	76	ABCB5+ resistant LSC AML
CLEC11A	0.810037942193951	0.00835326589944714	0.00634858831842475	0.0518720608400963	77	ABCB5+ resistant LSC AML
FBN1	0.834365584198191	0.00835311430673217	0.00634843672570978	0.0385226109636958	78	ABCB5+ resistant LSC AML
