cell_type_final	signature	n_conv	n_coc	delta	p_value	p_adj
Mono-like AML	UCell_baryawno_niche_signal	308	218	-0.0937537233408793	0.0668077946527252	0.126704438134479
Mono-like AML	UCell_tikhonova_msc_response	308	218	-0.625089360181103	2.41019259992131e-34	3.31401482489181e-33
Stress-response AML	UCell_hallmark_upr	28	42	-0.148809523809524	0.296952150961465	0.398350446411722
Stress-response AML	UCell_hallmark_hypoxia	28	42	0.267006802721088	0.0603186124276976	0.118482988697263
Stress-response AML	UCell_hallmark_ros	28	42	0.239795918367347	0.0922369027196618	0.149206754399453
Stress-response AML	UCell_hallmark_tnfa	28	42	0.229591836734694	0.107196547461727	0.168451717439856
Stress-response AML	UCell_hallmark_inflam	28	42	-0.0255102040816326	0.862923203904452	0.88822808514477
Stress-response AML	UCell_hallmark_p53	28	42	0.0833333333333333	0.563333454258911	0.666079607669742
Stress-response AML	UCell_hallmark_apoptosis	28	42	0.0408163265306123	0.778152362856084	0.839183920727149
Stress-response AML	UCell_isr_atf4_targets	28	42	0.209183673469388	0.12435166537673	0.189981710992227
Stress-response AML	UCell_van_den_brink_dissociation	28	42	-0.163265306122449	0.25156791646051	0.345905885133202
Stress-response AML	UCell_baryawno_niche_signal	28	42	-0.103741496598639	0.461245530480833	0.576556913101042
Stress-response AML	UCell_tikhonova_msc_response	28	42	-0.384353741496599	0.00686222421745814	0.0171555605436454
