"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SLC22A15",2.5532821088205e-61,-1.05409222859497,0.357,0.592,5.50870614978022e-57
"PPBP",4.55427120239359e-61,1.26897567681968,0.633,0.41,9.82584011916417e-57
"DIAPH3",5.76968873639715e-61,-2.6274983028435,0.054,0.238,1.24481034487768e-56
"TFPI2",8.56590853855065e-61,3.76280320104018,0.242,0.074,1.8480947671923e-56
"ENSG00000289901",1.2178885382855e-60,-0.914077377076865,0.395,0.642,2.62759452135096e-56
"TESC",1.98194400508531e-60,-1.37422504843733,0.176,0.407,4.27604419097156e-56
"MYB",2.59442158819272e-60,-1.7539512319207,0.097,0.305,5.5974645765258e-56
"CXCL3",4.3293004933627e-60,1.10393789889931,0.455,0.219,9.34046581443002e-56
"PDZD8",5.58983630405263e-60,-1.70793506072999,0.184,0.401,1.20600718259935e-55
"TSPAN2",7.66325057799969e-60,-3.32197620214272,0.019,0.178,1.65334631220343e-55
"CST7",1.20828634008108e-59,-1.97566491098679,0.105,0.309,2.60687777872492e-55
"FLI1",1.54986160344719e-59,-0.826615913429614,0.452,0.688,3.3438264094373e-55
"HDAC4",1.68294137213225e-59,-1.35914679828183,0.185,0.415,3.63094601037534e-55
"RAD51B",1.8798873539357e-59,-0.915308051465802,0.518,0.721,4.05585696611626e-55
"HNRNPA1",2.90201944484831e-59,-1.11051933542594,0.382,0.602,6.26110695226024e-55
"DOCK4",5.72466299114732e-59,0.707716329445855,0.563,0.292,1.23509604034003e-54
"CSF3R",1.08121454104762e-58,-1.39471465772987,0.2,0.423,2.33272037231023e-54
"MT-CO1",1.30344041896301e-58,-0.71326964360638,0.993,0.994,2.81217270391269e-54
"CTSC",1.66139152513302e-58,0.950909812474217,0.893,0.774,3.58445221547449e-54
"DYRK1A",5.0539762529445e-58,-0.894753855671367,0.399,0.637,1.09039537657278e-53
"TXNIP",6.34870734283853e-58,0.550446407538087,0.961,0.871,1.36973360921741e-53
"CELF2",7.05696802842736e-58,-0.660674040350025,0.614,0.817,1.5225408521332e-53
"SNHG29",1.69702092874477e-57,-0.8638519264753,0.365,0.609,3.66132265376684e-53
"PKP4",1.8396844254485e-57,-1.60163471352527,0.164,0.377,3.96911914790513e-53
"SRCAP",3.33453143756081e-57,-8.02707002143931,0,0.131,7.19425157653744e-53
"IFIT1",4.2469276499427e-57,2.52611818051381,0.195,0.047,9.16274640475137e-53
"SPN",9.75834060179604e-57,-1.58608861124803,0.128,0.336,2.1053619848375e-52
"DYSF",1.25855626407466e-56,-1.97170377897067,0.091,0.286,2.71533513974108e-52
"MAFB",5.20454785470602e-56,0.999854713121812,0.492,0.26,1.12288119965282e-51
"KANSL2",8.179017856747e-56,-8.0157842138928,0,0.128,1.76462310259317e-51
