"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.8496409537045e-07,0.600464381205138,0.262,0.166,0.0126206003576175,"10","GTF3C3"
5.86746926043954e-07,0.365336295125637,0.485,0.351,0.0126590649293983,"10","ZZZ3"
5.86868737597686e-07,0.614699779789316,0.289,0.189,0.0126616930136701,"10","ARF3"
6.00588306546698e-07,0.359223958031939,0.342,0.235,0.012957692713745,"10","CITED2"
6.00967168787363e-07,0.62086986115742,0.257,0.162,0.0129658666665874,"10","CMTM3"
6.15025579318853e-07,0.321717823745304,0.624,0.47,0.0132691768738042,"10","RPS16"
6.15367922405209e-07,0.596827618824559,0.313,0.21,0.0132765629258924,"10","UBE2J1"
6.2056222108751e-07,0.522190198722993,0.34,0.23,0.013388629919963,"10","ATAD1"
6.21126708404116e-07,0.451765832275184,0.367,0.252,0.0134008087338188,"10","ABCF1"
6.25846689946913e-07,0.34163350306223,0.609,0.476,0.0135026423356047,"10","ANP32B"
6.32221044140117e-07,0.514097037360922,0.325,0.217,0.013640169027323,"10","BRD1"
6.38560381428505e-07,0.314992454317892,0.539,0.399,0.01377694022932,"10","EIF3H"
6.45075443624145e-07,0.53567218736938,0.301,0.198,0.0139175026961909,"10","LEMD3"
6.49035568944659e-07,0.491926168551258,0.301,0.195,0.014002942399981,"10","FGD5-AS1"
6.83589431570773e-07,0.38949434336589,0.459,0.332,0.0147484419861394,"10","ANP32E"
6.87029773162902e-07,0.628298244826286,0.252,0.159,0.0148226673559896,"10","NUP54"
6.92010521357838e-07,0.505074824495394,0.391,0.277,0.0149301269982954,"10","RYK"
6.94942314768633e-07,0.311554796888016,0.626,0.479,0.0149933804411333,"10","SEPTIN2"
6.97210008334186e-07,0.551025529195524,0.333,0.227,0.0150423059298101,"10","LUZP1"
6.98753179185093e-07,0.655949273602518,0.257,0.163,0.0150755998409184,"10","NHLRC2"
7.00414010411512e-07,0.561956043956285,0.265,0.167,0.0151114322746284,"10","LSM4"
7.15731792729321e-07,0.482760975837301,0.4,0.286,0.0154419134281351,"10","MAP4K3"
7.17285301242021e-07,0.406420722328556,0.456,0.33,0.0154754303742966,"10","MICU2"
7.25898407084613e-07,0.41125653439505,0.425,0.297,0.0156612581328505,"10","ZNF33A"
7.44545994249014e-07,1.74128348832717,0.386,0.296,0.0160635798259225,"10","TFRC"
