"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RABEP1",4.49017399671879e-17,-0.383659912327452,0.43,0.534,9.68755039792079e-13
"RBBP6",4.50054464438858e-17,-0.58724791228163,0.218,0.313,9.70992507026835e-13
"DISC1",4.61481722018951e-17,-0.422933950815861,0.489,0.568,9.95646815255887e-13
"ENSG00000275119",4.70851656017063e-17,-0.826423080778172,0.136,0.218,1.01586244785681e-12
"POLR1B",4.80624187840565e-17,-0.985482894900958,0.07,0.136,1.03694668526602e-12
"UBAP1",4.83081668590414e-17,-0.490644066169119,0.327,0.428,1.04224869998382e-12
"PLEKHA2",4.92922285213073e-17,-0.403763088949814,0.398,0.5,1.06347983034721e-12
"APIP",4.96875464080843e-17,0.720339746429532,0.324,0.238,1.07200881375442e-12
"AP3D1",5.00197597938982e-17,-0.606443966840328,0.199,0.29,1.07917631755335e-12
"FAM168B",5.01010324893991e-17,-0.641666739141948,0.203,0.293,1.08092977595878e-12
"QSOX2",5.03479401072072e-17,-1.43344857475582,0.024,0.071,1.086256807813e-12
"RPS27A",5.10053485135746e-17,0.569167117127565,0.854,0.826,1.10044039418037e-12
"NEK6",5.12793821520217e-17,-0.473891827240885,0.327,0.426,1.10635266992987e-12
"GPX4",5.23807859098581e-17,0.709419941894438,0.365,0.281,1.13011545600519e-12
"HTRA3",5.25113589259789e-17,-3.32210126562581,0.003,0.031,1.13293256882799e-12
"RTN1",5.42972301926857e-17,0.532522020365733,0.22,0.136,1.17146274140719e-12
"COG7",5.59124939019268e-17,-0.767136910680596,0.135,0.217,1.20631205593407e-12
"TET2",5.69084775339291e-17,-0.254754126635214,0.767,0.805,1.22780040279452e-12
"BMAL2",5.71136148142026e-17,-0.883528251886179,0.111,0.187,1.23222623961642e-12
"CDK19",5.81259580046179e-17,-0.483900718548355,0.394,0.487,1.25406754394963e-12
"TWNK",5.87880575698395e-17,-1.74090489245312,0.016,0.057,1.26835234206929e-12
