"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GOBP_MITOTIC_SPINDLE_ORGANIZATION","GOBP_MITOTIC_SPINDLE_ORGANIZATION","GOBP_MITOTIC_SPINDLE_ORGANIZATION",127,-0.534806076371571,-1.73277813123434,0.000421757248322283,0.0228012512374234,0.0222254970990888,2162,"tags=37%, list=15%, signal=32%","PIBF1/CEP97/STMN1/CKAP5/SMC3/CLASP1/PSRC1/CEP192/PRICKLE1/AURKA/PCNT/GPSM2/TACC3/CHEK2/KPNB1/CCNB1/RACGAP1/INCENP/NEK2/SASS6/SMC1A/CENPH/KIF23/NUF2/TTK/NDC80/BIRC5/DLGAP5/STIL/PLK1/PRC1/CDC20/CENPE/CDCA8/TPX2/RCC1/SPC25/POC1A/KIF4A/KIF11/AURKB/KIFC1/UHRF1/KIF15/WDR62/MYBL2/CCDC61"
"GOBP_MITOTIC_METAPHASE_CHROMOSOME_ALIGNMENT","GOBP_MITOTIC_METAPHASE_CHROMOSOME_ALIGNMENT","GOBP_MITOTIC_METAPHASE_CHROMOSOME_ALIGNMENT",66,-0.614147350259892,-1.79088223134353,0.000429175941267109,0.0229158758762993,0.0223372273524987,2162,"tags=42%, list=15%, signal=36%","PIBF1/CENPA/MAD1L1/PINX1/PSRC1/SPDL1/SEH1L/SKA2/KPNB1/CCNB1/KIF22/INCENP/CEP55/CDK1/NUF2/KIF18A/TTK/NDC80/BIRC5/SKA1/CENPE/CDCA8/KIF2C/AURKB/CDT1/KIFC1/KIF14/SKA3"
"GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION","GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION","GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION",91,-0.566127242265787,-1.75484317204359,0.000460797889214318,0.0243042789128284,0.0236905718395808,1933,"tags=41%, list=14%, signal=35%","MAD1L1/ANAPC5/CCND2/RCC2/LSM11/RPTOR/MTBP/CCNE2/UBE2C/CCNB1/RRM1/DYRK3/DBF4B/SASS6/TFDP1/CDK1/EZH2/BIRC5/DLGAP5/SKA1/FBXO5/STIL/PLK1/ATAD5/CDC20/PLCB1/CDC7/ESPL1/SKA3/RRM2/DTL/CDC25C/CDC25A/CDC6/PBX1/FAM83D/MAD2L1BP"
"GOBP_MITOTIC_SPINDLE_ASSEMBLY","GOBP_MITOTIC_SPINDLE_ASSEMBLY","GOBP_MITOTIC_SPINDLE_ASSEMBLY",73,-0.598782574437031,-1.77906728202119,0.000474492931376282,0.0247250834723183,0.0241007506678758,2162,"tags=38%, list=15%, signal=33%","PIBF1/CEP97/SMC3/CLASP1/CEP192/PRICKLE1/CHEK2/KPNB1/RACGAP1/INCENP/NEK2/SMC1A/KIF23/BIRC5/PLK1/PRC1/CDC20/CDCA8/TPX2/RCC1/KIF4A/KIF11/AURKB/KIFC1/UHRF1/KIF15/MYBL2/CCDC61"
"GOBP_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION","GOBP_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION","GOBP_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION",123,-0.514876493338058,-1.66126766338216,0.000557969037248393,0.0287287629297536,0.0280033332603987,2062,"tags=33%, list=14%, signal=29%","KIF2A/NDE1/NEDD1/SPECC1L/HAUS2/HAUS6/DYRK1A/STMN1/CKAP5/CLASP1/MZT2A/TBCD/PSRC1/CEP192/CCDC57/TUBGCP3/KIF21A/PCNT/MID1/TUBGCP4/CDK5RAP2/KATNB1/HDGFL3/SKA2/HAUS8/CCDC88C/KIF24/KIF18A/SKA1/FBXO5/TPX2/KIF2C/AURKB/DIAPH3/KIF14/SKA3/KIF18B/CLIP3/TUBB1/TUBGCP6/HAUS5"
"GOBP_MEIOSIS_I_CELL_CYCLE_PROCESS","GOBP_MEIOSIS_I_CELL_CYCLE_PROCESS","GOBP_MEIOSIS_I_CELL_CYCLE_PROCESS",98,-0.553517237689524,-1.72833661963356,0.000575144940122565,0.0292647278356482,0.0285257645224876,2267,"tags=44%, list=16%, signal=37%","SLX4/CKS2/RAD51B/RMI1/PMS1/TDRD9/MSH6/BRCA2/FANCM/AURKA/CCNB2/SGO2/CENPS/CCNE2/ZWINT/RAD51D/RAD51AP1/RAD54B/MSH5/TEX15/PSMC3IP/FANCD2/NDC80/FBXO5/SGO1/PLK1/NDC1/CDC20/EME1/TOP2A/DMC1/SYCE2/KNL1/PKMYT1/BRIP1/RAD54L/RAD51/ESPL1/MND1/TRIP13/CDC25C/CDC25A/ANKLE1"
"GOBP_REGULATION_OF_CELL_CYCLE_CHECKPOINT","GOBP_REGULATION_OF_CELL_CYCLE_CHECKPOINT","GOBP_REGULATION_OF_CELL_CYCLE_CHECKPOINT",55,-0.642153015594385,-1.7948964376995,0.000582952725483395,0.0293170992757638,0.0285768135319584,2111,"tags=49%, list=15%, signal=42%","BRD4/RNASEH2B/TTI1/MAD1L1/BRCA2/GEN1/CDK5RAP2/MAP3K20/ZWINT/CCNB1/TELO2/INCENP/BARD1/RFWD3/MAD2L1/NDC80/BIRC5/SKA1/XRCC3/CDCA8/BRCA1/WDR76/KNL1/AURKB/RAD51/SKA3/MAD2L1BP"
"GOBP_POSITIVE_REGULATION_OF_MITOTIC_SISTER_CHROMATID_SEPARATION","GOBP_POSITIVE_REGULATION_OF_MITOTIC_SISTER_CHROMATID_SEPARATION","GOBP_POSITIVE_REGULATION_OF_MITOTIC_SISTER_CHROMATID_SEPARATION",21,-0.781729636751642,-1.82380138688195,0.000713265983873352,0.0354583377040488,0.0345629796178194,1147,"tags=67%, list=8%, signal=61%","MAD1L1/ANAPC5/UBE2C/INCENP/BIRC5/DLGAP5/SKA1/PLK1/CDC20/CDCA8/AURKB/ESPL1/SKA3/MAD2L1BP"
"GOBP_KINETOCHORE_ORGANIZATION","GOBP_KINETOCHORE_ORGANIZATION","GOBP_KINETOCHORE_ORGANIZATION",33,-0.710568264890561,-1.83470967132699,0.000721753642170311,0.035472551163484,0.0345768341733504,2363,"tags=70%, list=17%, signal=58%","CENPW/ITGB3BP/POGZ/CENPA/CENPP/RNF4/CENPN/MIS18BP1/SMC4/SMC2/NASP/CENPH/OIP5/NUF2/NDC80/DLGAP5/CENPV/CENPI/CENPK/CENPE/KNTC1/HJURP/CENPF"
"GOBP_MITOTIC_SPINDLE_ELONGATION","GOBP_MITOTIC_SPINDLE_ELONGATION","GOBP_MITOTIC_SPINDLE_ELONGATION",10,-0.887193951477515,-1.78318075065752,0.000763089031726162,0.0362676929913808,0.0353518978839014,1004,"tags=80%, list=7%, signal=74%","RACGAP1/INCENP/KIF23/BIRC5/PRC1/CDCA8/KIF4A/AURKB"
"GOBP_REGULATION_OF_CYTOKINESIS","GOBP_REGULATION_OF_CYTOKINESIS","GOBP_REGULATION_OF_CYTOKINESIS",82,-0.574976094403505,-1.73605440419998,0.000754864378600048,0.0362676929913808,0.0353518978839014,2435,"tags=37%, list=17%, signal=31%","SVIL/CSPP1/KLHL13/AHCTF1/CCP110/ECT2/BRCA2/AURKA/ATXN10/E2F7/MYO19/RACGAP1/INCENP/PKP4/KIF20B/RAB11FIP3/KIF23/BIRC5/CENPV/E2F8/PLK1/PRC1/CDCA8/KIF20A/AURKB/CIT/KIF14/CDC6/KLHL21/PDXP"
"GOBP_TELOMERE_ORGANIZATION","GOBP_TELOMERE_ORGANIZATION","GOBP_TELOMERE_ORGANIZATION",172,-0.474198183457316,-1.59777042945662,0.000760246434028813,0.0362676929913808,0.0353518978839014,3273,"tags=40%, list=23%, signal=31%","TP53/SMC5/USP7/RFC1/CCNE1/HSP90AA1/RPA1/PCNA/HNRNPA1/INO80/TNKS1BP1/SMG5/MAPK1/SMG6/HDAC8/SMG1/MAPKAPK5/GAR1/HNRNPC/UPF1/HNRNPD/YLPM1/SLF1/NHEJ1/XRCC6/MAP3K4/GNL3/SLX4/NVL/MAP2K7/NAT10/SHLD1/BRCA2/WRN/H4C5/PINX1/WRAP53/RTEL1/GNL3L/RUVBL2/PRKCQ/LIG1/MYC/CCNE2/DKC1/RAD51D/DOT1L/CDK2/H3C2/RIF1/PIF1/NEK2/PRKDC/H3C8/BLM/XRCC3/EXO1/H3C4/EME1/FEN1/AURKB/DNA2/RAD51/H3C11/H3C10/H3C3/H4C4/RECQL4/INO80E"
"GOBP_SPINDLE_MIDZONE_ASSEMBLY","GOBP_SPINDLE_MIDZONE_ASSEMBLY","GOBP_SPINDLE_MIDZONE_ASSEMBLY",12,-0.841738211039843,-1.77848934439719,0.00104221101580155,0.0489952461232792,0.0477580677149336,1004,"tags=67%, list=7%, signal=62%","RACGAP1/INCENP/KIF23/BIRC5/PRC1/CDCA8/KIF4A/AURKB"
