"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ZNF273",0.48636810412129,0.0108908492906226,0.097,0.103,1
"FNTB",0.4863753874983,0.0716241675790736,0.162,0.171,1
"PRKD3",0.48647901266218,-0.00364536817581773,0.227,0.237,1
"CPOX",0.486605497931248,0.22114864212132,0.09,0.085,1
"EIF2AK1",0.486750488727307,0.0205144364313459,0.318,0.335,1
"GRIK2",0.486755237890719,0.163428556014642,0.017,0.02,1
"RBSN",0.486780492039036,-0.00245341378968611,0.135,0.142,1
"ENSG00000288093",0.48684779612619,0.34318791756153,0.016,0.013,1
"BORCS7",0.486986035241801,0.163830700976379,0.07,0.065,1
"PARG",0.487238835812182,0.0269488945559919,0.182,0.192,1
"CYP3A5",0.487465610785282,0.722146957485272,0.02,0.018,1
"UVSSA",0.487788322841424,0.161718863883814,0.141,0.136,1
"L3HYPDH",0.487808461955777,-0.108291577685374,0.029,0.032,1
"TRMT12",0.487889686633825,-0.0138385449035061,0.032,0.036,1
"ZNF264",0.488409793270236,0.010460771767423,0.114,0.121,1
"NDUFC1",0.488650419173745,0.0756639723700205,0.148,0.156,1
"ZNF610",0.488968753147852,0.21691164923485,0.016,0.013,1
"LSM8",0.489121760531729,0.104933997001817,0.2,0.194,1
"NRDE2",0.489683055349159,0.0212853370043136,0.16,0.169,1
"ENSG00000235979",0.489705619339953,0.377135249484867,0.021,0.018,1
"CEP41",0.489794392561463,0.0190001414405012,0.06,0.065,1
"SNORC",0.490210398166936,-0.137437923344891,0.018,0.02,1
"RIOX2",0.491023247794008,-0.0242273128968993,0.07,0.075,1
"EIF2D",0.491058056192527,-0.0238270645822531,0.07,0.075,1
"SHPRH",0.4914448896851,0.120191678048099,0.38,0.382,1
"CBR3",0.491486663384476,0.417150928332747,0.015,0.013,1
"RNF150",0.491494104074055,-0.30093665562777,0.009,0.011,1
"KCTD3",0.491781124745569,0.146329176548881,0.152,0.147,1
"IGHD",0.491813269978011,0.740883520066857,0.02,0.017,1
"LINC02693",0.492126033754934,-0.112491566214659,0.011,0.013,1
"FCHO1",0.492436634064966,0.032487078097422,0.072,0.077,1
"GPS2",0.492622612914415,0.177636500501409,0.134,0.129,1
"PKIG",0.492765807050626,0.0690129541225359,0.077,0.072,1
"ANAPC11",0.492849159168778,-0.0100680415972505,0.148,0.155,1
"DIRC3-AS1",0.49310618505861,-0.90861923284901,0.016,0.019,1
"MED12",0.493257293278881,-0.0293781774874375,0.066,0.07,1
"MTRES1",0.493270892892901,-0.0368965369328307,0.07,0.075,1
"CUL4B",0.493371571359381,0.11511646850181,0.131,0.126,1
"CTDNEP1",0.493601665797585,-0.000541722290048785,0.153,0.161,1
"MPZL3",0.493946462397298,-0.0146099285372232,0.07,0.075,1
"ANKRD39",0.49400721985327,0.256280854610482,0.035,0.032,1
"LRRC8D",0.494138334254027,0.0280158883925609,0.583,0.61,1
"HELQ",0.494213306776129,0.196331784186988,0.116,0.112,1
"TP53BP2",0.494426210653416,0.0209914392595925,0.232,0.243,1
"ENSG00000283633",0.494631058303507,-0.0868118502749224,0.009,0.011,1
"NDUFB3",0.494728390026557,0.196219464124579,0.082,0.077,1
"RSAD1",0.49487212345749,-0.0323212175306757,0.039,0.042,1
"PSMA4",0.495000850213109,0.124901375252672,0.241,0.238,1
"ENSG00000290879",0.495318083326448,-0.163433131877835,0.023,0.026,1
"UNC45A",0.495323169147998,-0.0570110727416808,0.077,0.082,1
"CD320",0.495462788354351,0.417150928332747,0.014,0.012,1
"PARD3",0.496039971437701,0.278817554090625,0.021,0.018,1
"TIE1",0.496190299748976,-0.348383818030229,0.016,0.019,1
"PHF7",0.496414349825823,-0.0429203245606002,0.07,0.075,1
"SNRNP48",0.496633311488513,0.0197454092058398,0.124,0.131,1
"PICK1",0.497001979197507,-0.0437788161306454,0.037,0.04,1
"AGPAT2",0.497138656602834,0.0853957566097363,0.147,0.141,1
"SCART1",0.497271905683978,-0.0565179279613233,0.014,0.017,1
"MID1IP1",0.49754156878985,0.0021870378215354,0.081,0.087,1
"BCKDHA",0.497702602298616,0.125328099074328,0.075,0.07,1
"TRMT2A",0.497779626049361,0.00670305232718871,0.041,0.044,1
"ENSG00000261997",0.497782081010018,0.145601158148877,0.063,0.059,1
"STK32C",0.498314252347273,-0.0284035902437294,0.097,0.102,1
"ANKDD1A",0.498448305736419,-0.0125466755170813,0.053,0.057,1
"MRPS14",0.498494932424172,0.0408198108710356,0.063,0.068,1
"MIEN1",0.498825067447748,0.202637518252731,0.08,0.076,1
"SUB1",0.499074001468099,0.0908372768296679,0.343,0.342,1
"PDE8B",0.49919227278597,0.573532462288371,0.014,0.012,1
"EIF3I",0.499214755337757,0.0695390051915874,0.131,0.139,1
"TRIM5",0.499816152264301,-0.0239337188897322,0.111,0.117,1
"ADRM1",0.500052165481574,0.125596482488903,0.091,0.086,1
"NT5C3B",0.500187988989328,0.221964876961135,0.014,0.012,1
"MICAL2",0.500222104683786,-0.0770382894354908,0.174,0.181,1
"CILK1",0.500708085951259,0.0410373814613507,0.07,0.075,1
"NARF",0.500723089201913,0.190415005499577,0.152,0.148,1
"ANAPC15",0.501256557717875,-0.00381335921469494,0.07,0.075,1
"RAB2A",0.501420476836058,-0.0143504747354982,0.577,0.588,1
"ZNF780B",0.501597655986385,-0.000603708371000433,0.141,0.148,1
"ENSG00000254459",0.501677862045413,0.0189041058244968,0.067,0.072,1
"TLR4",0.501815927263814,0.160825971641656,0.25,0.246,1
"RBBP6",0.502319214378406,0.0887185713143126,0.299,0.296,1
"ADCY9",0.502365877404893,0.150542839619134,0.122,0.117,1
"ZNF420",0.502398619100546,0.154844709793947,0.095,0.09,1
"ENSG00000266538",0.502463567528082,0.207759950865319,0.042,0.039,1
"NAF1",0.502511486833954,0.110011955583195,0.103,0.098,1
"FAM221A",0.502544457543923,-0.178079907842236,0.02,0.023,1
"ENSG00000227355",0.502846383843567,-0.00727063114031301,0.062,0.066,1
"ZNF438",0.503145106446223,0.171721722442066,0.673,0.71,1
"SMS",0.50345981860974,0.0779042372932317,0.274,0.268,1
"RMND5A",0.503516164447817,-0.0374789858798681,0.157,0.164,1
"KRIT1",0.503663467683885,0.119144932963897,0.324,0.324,1
"PPA1",0.503665653842018,0.0912693147934944,0.21,0.221,1
"GPAM",0.503714851747052,-0.0536695656522923,0.039,0.043,1
"MTFP1",0.50388301536538,-0.115070110316436,0.028,0.031,1
"ST3GAL1-DT",0.503883875314336,-0.0481705852478029,0.013,0.015,1
"C15orf61",0.50397379348467,0.118147676713776,0.031,0.028,1
"CASP6",0.504485758387665,-0.00977864887958813,0.074,0.079,1
"TBX19",0.505480449328694,-0.115070110316436,0.028,0.031,1
"ISOC1",0.505673148325749,0.252394236044275,0.03,0.027,1
"GNPDA2",0.505681093287296,0.264660520226455,0.049,0.045,1
"SUPT20H",0.505988139835886,0.0787318488184372,0.242,0.236,1
"ENSG00000232855",0.506534539228016,0.295521483931215,0.014,0.012,1
"ENSG00000229618",0.506668422946938,0.415815717648927,0.014,0.012,1
"POLM",0.506812544349033,-0.0176152356489903,0.045,0.049,1
"ATPAF1",0.507517123299401,0.15854690429019,0.16,0.155,1
"TBPL1",0.507876729787312,-0.0499750820945515,0.046,0.05,1
"NCALD",0.50809388833204,-0.165301303120934,0.092,0.097,1
"ICE2",0.508462303913108,0.142482645020896,0.25,0.247,1
"GTF3C4",0.508589883329628,0.209581152505302,0.094,0.09,1
"ABCD4",0.508713772750582,0.159399190579641,0.078,0.074,1
