"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GOBP_TUBE_FORMATION","GOBP_TUBE_FORMATION","GOBP_TUBE_FORMATION",103,0.650174274845606,1.8384049896817,1.61898843350229e-05,0.000761446818079465,0.000658773448606762,1285,"tags=25%, list=9%, signal=23%","GREM1/TSC2/GDNF/SFRP1/NFIB/FGF2/TGFB2/IRX3/PODXL/CTHRC1/TWIST1/NCKAP1/TGM2/WNT5A/VEGFA/DLC1/ADM/SEMA4C/SDC4/HIF1A/SPINT1/FUZ/TULP3/TGIF1/MKS1/CECR2"
"GOBP_TELENCEPHALON_DEVELOPMENT","GOBP_TELENCEPHALON_DEVELOPMENT","GOBP_TELENCEPHALON_DEVELOPMENT",188,0.553519332083552,1.70010020904564,1.67057384927565e-05,0.000777350001779967,0.000672532249512426,1050,"tags=15%, list=8%, signal=14%","EGFR/COL3A1/NEFL/LYPD6/PEX5/IGF2BP1/NFIB/FAT4/SLIT2/EPHA5/CDH2/MDK/MME/HES1/PTPRS/INHBA/WNT5A/ALDH1A3/LAMB1/PLXNA4/TFAP2C/MDGA1/DIXDC1/HIF1A/BNIP3/SLC7A11/EXT1/PRDM8"
"GOBP_STEM_CELL_PROLIFERATION","GOBP_STEM_CELL_PROLIFERATION","GOBP_STEM_CELL_PROLIFERATION",52,0.745318212044255,1.91098139484195,1.71102336350284e-05,0.000787791178101203,0.000681565539256811,731,"tags=23%, list=5%, signal=22%","GJA1/FBLN1/DSG2/VEGFC/SNAI2/FGF2/YAP1/TBX3/FERMT2/WNT5A/MECOM/ANG"
"GOBP_HEMOSTASIS","GOBP_HEMOSTASIS","GOBP_HEMOSTASIS",170,0.569153813158103,1.72945323593698,1.7636914068821e-05,0.000803581897260657,0.000695227040322495,1183,"tags=21%, list=8%, signal=20%","PRKG1/COL3A1/PLAT/ANGPTL2/FBLN1/SERPINE2/TFPI2/ANGPTL4/SERPINE1/CAV1/FAP/FN1/C1QTNF1/AXL/MYL9/SVEP1/ITGA2/F3/SERPINB2/F2R/THBS1/PF4/EMILIN1/THBD/HBB/PDGFA/ITPR3/SLC7A11/PLSCR1/IL6/TFPI/ITGB3/GAS6/ADTRP/CD9/PLAUR"
"GOBP_KIDNEY_EPITHELIUM_DEVELOPMENT","GOBP_KIDNEY_EPITHELIUM_DEVELOPMENT","GOBP_KIDNEY_EPITHELIUM_DEVELOPMENT",80,0.675640962618585,1.85796400507752,1.84689622222473e-05,0.000832816915052675,0.000720520012902647,1010,"tags=29%, list=7%, signal=27%","GREM1/HS3ST3A1/GDNF/BMPER/SFRP1/PKD1/FGF2/FOXD1/IRX3/SLIT2/FOXC1/EPHA7/YAP1/PODXL/DCHS1/HES1/WWTR1/MAGI2/VEGFA/EPHA4/SDC4/ARG2/EXT1"
"GOBP_SUBSTRATE_ADHESION_DEPENDENT_CELL_SPREADING","GOBP_SUBSTRATE_ADHESION_DEPENDENT_CELL_SPREADING","GOBP_SUBSTRATE_ADHESION_DEPENDENT_CELL_SPREADING",81,0.695692192754283,1.90463933881307,1.89653531063146e-05,0.000841957820746038,0.000728428360306598,1150,"tags=23%, list=8%, signal=22%","HAS2/FBLN1/NTN4/FN1/TGFB1I1/FZD4/AXL/EFNA5/MDK/FERMT2/PARVA/LAMB1/LAMB3/ITGB7/SPRY4/ITGB3/DMTN/MELTF/ANTXR1"
"GOBP_NEGATIVE_REGULATION_OF_CELL_ADHESION","GOBP_NEGATIVE_REGULATION_OF_CELL_ADHESION","GOBP_NEGATIVE_REGULATION_OF_CELL_ADHESION",235,0.53020513212075,1.66909112127865,1.90927795977773e-05,0.000841957820746038,0.000728428360306598,1125,"tags=15%, list=8%, signal=14%","PRKG1/CDH13/COL1A1/FBLN1/SERPINE2/SEMA5A/SERPINE1/SNAI2/FZD4/C1QTNF1/PODXL/ASS1/EFNA5/MDK/PHLDB2/IL1RN/BMP6/THBS1/VEGFA/EPHA4/DLC1/LAMB1/CORO2B/PDE3B/SDC4/JAM3/PLET1/MMP12/ARG2/SPRY4/SPOCK1/DMTN/ADTRP/MELTF/MMP14/CD9"
"GOBP_SENSORY_SYSTEM_DEVELOPMENT","GOBP_SENSORY_SYSTEM_DEVELOPMENT","GOBP_SENSORY_SYSTEM_DEVELOPMENT",244,0.523195333598528,1.64954547930873,1.92491499941938e-05,0.000841957820746038,0.000728428360306598,1901,"tags=24%, list=14%, signal=21%","EGFR/THY1/LAMA1/NFIB/FGF2/COL4A1/MFAP2/COL5A1/FZD4/TGFB2/PDE6B/FOXC1/TENM3/EFNA5/TWIST1/WNT5B/FJX1/BMP6/FBN1/INHBA/COL5A2/WNT5A/VEGFA/ALDH1A3/NECTIN3/SPRED3/SSPN/PPP1R13L/HIF1A/SOX4/RCN1/COL8A1/CDKN1C/BCAR3/CDKN1B/SNTA1/TULP3/SPRY1/NPHP1/PXDN/TGIF1/SGCB/SDK2/MYOM1/JUN/PRDM1/PBX1/ACVRL1/MEIS3/NKD1/C12orf57/CITED2/RPGRIP1L/BBS10/ATF4/BLOC1S3/FBN2/CACNA1C/PBX4"
"GOBP_POSITIVE_REGULATION_OF_CELL_PROJECTION_ORGANIZATION","GOBP_POSITIVE_REGULATION_OF_CELL_PROJECTION_ORGANIZATION","GOBP_POSITIVE_REGULATION_OF_CELL_PROJECTION_ORGANIZATION",256,0.520114199715737,1.64779248369428,1.9644962157056e-05,0.000850763014603593,0.000736046263206006,892,"tags=13%, list=6%, signal=13%","MAP1B/NCKIPSD/PRKD1/NEFL/SEMA5A/TMEM216/BDNF/NLGN1/TENM2/FN1/FZD4/SLIT2/PLCE1/TENM3/CRABP2/EFNA5/DZIP1/DPYSL3/MDK/ITGA2/MAGI2/NCKAP1/WNT5A/VEGFA/EPHA4/DDR2/TNFRSF12A/RGS2/CDH4/CDC42EP5/LRRC7/CDC42EP2/SHOX2/EPS8L2"
"GOBP_KIDNEY_MORPHOGENESIS","GOBP_KIDNEY_MORPHOGENESIS","GOBP_KIDNEY_MORPHOGENESIS",47,0.755832232206563,1.88673485591454,2.04808051286904e-05,0.000869738268280503,0.000752462896654492,861,"tags=26%, list=6%, signal=24%","GREM1/HS3ST3A1/GDNF/PKD1/FGF2/FOXD1/IRX3/DCHS1/HES1/WWTR1/VEGFA/SOX4"
"GOBP_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_MIGRATION","GOBP_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_MIGRATION","GOBP_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_MIGRATION",84,0.667080955447793,1.83297318596185,2.04047896602063e-05,0.000869738268280503,0.000752462896654492,1073,"tags=23%, list=8%, signal=21%","GREM1/CCBE1/PRKD1/SEMA5A/VEGFC/FGF2/SRPX2/TMEM201/MET/THBS1/WNT5A/PTGS2/VEGFA/TGFBR3/RHOB/HIF1A/PLK2/ITGB3/SPARC"
