"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HCLS1",3.93368897853748e-07,-0.178660172330845,0.48,0.585,0.00848693397119461
"HVCN1",3.9535671388649e-07,-0.469305686238323,0.102,0.156,0.00852982110210102
"FDX1",3.97274095333893e-07,-0.46513471697265,0.184,0.248,0.00857118860682874
"SAP30-DT",3.9989393748969e-07,2.11870111829422,0.026,0.008,0.00862771170134006
"KCNJ2",4.0227693642844e-07,-1.75576799962192,0.008,0.031,0.0086791249034436
"PRNP",4.05252067090615e-07,-0.460894360775356,0.172,0.234,0.00874331334748001
"KLF7",4.26550124337552e-07,-0.348547180333266,0.195,0.263,0.00920281893258269
"DOK3",4.34620056836317e-07,-0.591792264510793,0.12,0.174,0.00937692772624354
"TPRG1-AS1",4.35455097128719e-07,-1.96471488989341,0.007,0.029,0.00939494372055212
"GPX3",4.42202756848745e-07,1.39803733645712,0.042,0.018,0.00954052447901168
"EGILA",4.45987248403354e-07,1.82919450109924,0.022,0.005,0.00962217488430236
"CLEC4D",4.48113648492829e-07,1.85566671246043,0.022,0.005,0.00966805196623278
"ANKFY1",4.54244054698086e-07,-0.448786060113748,0.148,0.208,0.0098003154801112
"STX8",4.61415777582088e-07,-0.286904165841782,0.305,0.382,0.00995504540133354
"KIAA0513",4.67133193878618e-07,-0.936160816740296,0.043,0.08,0.0100783986579312
"ENSG00000250057",4.68376618408477e-07,-4.72260113568672,0,0.014,0.0101052255421629
"ENSG00000253720",4.68376618408477e-07,-4.72260113568672,0,0.014,0.0101052255421629
"KIFC2",4.68376618408477e-07,-4.72260113568672,0,0.014,0.0101052255421629
"ZNF70",4.68376618408477e-07,-4.72260113568672,0,0.014,0.0101052255421629
"PROCA1",4.68387330107778e-07,-4.75576799962192,0,0.014,0.0101054566470753
"TTYH2",4.68387330107778e-07,-4.75576799962192,0,0.014,0.0101054566470753
"ENSG00000272219",4.68397506415117e-07,-4.7881894773143,0,0.014,0.0101056762009062
"ENSG00000280206",4.68397506415117e-07,-4.7881894773143,0,0.014,0.0101056762009062
"NT5M",4.68397506415117e-07,-4.7881894773143,0,0.014,0.0101056762009062
"ZNF491",4.68397506415117e-07,-4.7881894773143,0,0.014,0.0101056762009062
"TAF9B",4.68397506415117e-07,-4.7881894773143,0,0.014,0.0101056762009062
"ENSG00000266088",4.68433131838868e-07,-4.91104622509983,0,0.014,0.0101064448194236
"SLC2A6",4.68494467169611e-07,-1.17385237445963,0.02,0.048,0.0101077681291844
"FAM72A",4.68523029668811e-07,-4.68865380376338,0,0.014,0.0101083843651046
"ENSG00000225689",4.68523029668811e-07,-4.68865380376338,0,0.014,0.0101083843651046
"FBXL17",4.68805677911059e-07,-0.185328680432784,0.37,0.459,0.0101144825009311
"CYP4V2",4.78302618942398e-07,-0.793455532727823,0.035,0.071,0.0103193790036822
"ENSG00000286739",4.81248509087393e-07,1.67857263805255,0.027,0.009,0.0103829365835605
"LINC01619",4.85074195027587e-07,0.645743643086197,0.159,0.11,0.0104654757577202
"TNKS1BP1",4.91701752551584e-07,1.27070421173927,0.041,0.017,0.0106084653113004
"KIAA1549L",5.07166787839662e-07,2.76255730806895,0.017,0.003,0.0109421234476407
"TMEM35B",5.08342616746301e-07,0.709842193944503,0.113,0.071,0.0109674919563015
"FIRRE",5.08500377913111e-07,-1.14068551052443,0.02,0.049,0.0109708956534754
"CD83",5.15300971176132e-07,-0.616856281479175,0.076,0.122,0.011117618453125
"KCNE1",5.3175268310011e-07,1.19551671534505,0.055,0.026,0.0114725641378849
"CALCB",5.35092713336294e-07,1.75677495547494,0.035,0.013,0.0115446252902305
"HSD3B7",5.35355178017523e-07,1.08351168983192,0.056,0.027,0.0115502879657281
"EIPR1",5.42882840807442e-07,-0.507282275669961,0.107,0.16,0.0117126972904206
"ERV3-1",5.45936746491035e-07,-0.592867698806502,0.068,0.113,0.0117785853055441
"SLAMF8",5.55307340722264e-07,-0.597427013080491,0.117,0.17,0.0119807558760829
"RFX7",5.57214872748061e-07,-0.213703971200654,0.327,0.409,0.0120219108795394
"ITGB1-DT",5.61623462125962e-07,2.25825247069302,0.02,0.004,0.0121170261953676
"EXT1",5.61865509755831e-07,1.27701149083382,0.175,0.128,0.0121222483729821
"PTP4A2",5.61896447774769e-07,0.390938017174042,0.442,0.39,0.0121229158607406
"HTRA1",5.61906353798608e-07,3.40410333715647,0.012,0.001,0.012123129583205
"RCN2",5.6882475796775e-07,0.826436001136674,0.155,0.109,0.0122723941531542
"CAPN1",5.7344404441519e-07,-0.569141348410571,0.116,0.17,0.0123720552582577
"ENSG00000258077",5.75902544521074e-07,1.85799176540667,0.023,0.006,0.0124250973980422
"FGF11",5.76848161242331e-07,1.56164461414295,0.03,0.01,0.0124454990788033
"CLEC16A",5.77537842959609e-07,-0.367392542740856,0.211,0.28,0.0124603789618536
"MAILR",5.83934443183725e-07,-1.00120834544097,0.046,0.084,0.0125983856116889
"DMXL2",5.85125384127645e-07,-0.0763456630750248,0.614,0.733,0.0126240801625539
"MPHOSPH8",5.99949652812251e-07,0.545551949011193,0.313,0.26,0.0129439137594243
"ALDH7A1",6.02208548914039e-07,1.35002666440068,0.033,0.012,0.0129926494428204
"BAX",6.03785296869211e-07,-0.339110404674913,0.254,0.325,0.0130266677799532
"HMGXB4",6.28721093311149e-07,0.575339522039839,0.221,0.167,0.013564657588188
"ARGLU1",6.29500448987929e-07,0.508746053626502,0.419,0.375,0.0135814721869146
"LRPAP1",6.29773315695535e-07,0.0589288977768534,0.543,0.433,0.0135873592861312
"MOB1B",6.39450457258845e-07,-0.416571607563492,0.208,0.273,0.0137961436153596
"FCHO2-DT",6.47543744463333e-07,-4.68865380376338,0,0.014,0.0139707562867964
"LRRC61",6.47543744463333e-07,-4.68865380376338,0,0.014,0.0139707562867964
"LINC03062",6.47543744463333e-07,-4.68865380376338,0,0.014,0.0139707562867964
"CNNM3",6.47557818965212e-07,-4.72260113568672,0,0.014,0.0139710599441745
"NATD1",6.47557818965212e-07,-4.72260113568672,0,0.014,0.0139710599441745
"C4orf19",6.47571171937281e-07,-4.75576799962192,0,0.014,0.0139713480345468
"AMIGO2",6.47583822336467e-07,-4.7881894773143,0,0.014,0.0139716209669093
"TSPOAP1",6.47595599172483e-07,-4.85092523266226,0,0.014,0.0139718750521463
"KLHL41",6.4759578912294e-07,-4.81989833704163,0,0.014,0.0139718791503274
"FAM174A-DT",6.47731425793637e-07,-4.65388838560271,0,0.014,0.0139748055114977
"BCL9L",6.59783807604275e-07,0.946934770027743,0.081,0.046,0.0142348356490622
"COL13A1",6.64442445567453e-07,2.28862611973654,0.013,0.002,0.0143353457631178
"CDKN2D",6.65214655194909e-07,0.797237734327576,0.092,0.055,0.0143520061858302
"MAP3K20",6.68306270584802e-07,0.622451550538215,0.277,0.223,0.0144187077878671
"MEF2C",6.74871315043719e-07,-0.299672093547878,0.36,0.435,0.0145603486220682
